CustomerID,Lookalikes
C0001,"[('C0114', 1.0), ('C0148', 1.0), ('C0187', 1.0)]"
C0002,"[('C0031', 1.0), ('C0168', 1.0), ('C0133', 1.0)]"
C0003,"[('C0052', 1.0), ('C0094', 1.0), ('C0125', 1.0)]"
C0004,"[('C0028', 1.0), ('C0188', 1.0), ('C0068', 1.0)]"
C0005,"[('C0085', 1.0), ('C0036', 1.0), ('C0066', 1.0)]"
C0006,"[('C0177', 1.0), ('C0031', 1.0), ('C0026', 1.0)]"
C0007,"[('C0074', 1.0), ('C0032', 1.0), ('C0040', 1.0)]"
C0008,"[('C0141', 1.0), ('C0065', 1.0), ('C0175', 1.0)]"
C0009,"[('C0043', 1.0), ('C0112', 1.0), ('C0071', 1.0)]"
C0010,"[('C0135', 1.0), ('C0026', 1.0), ('C0177', 1.0)]"
C0011,"[('C0056', 1.0), ('C0137', 1.0), ('C0086', 1.0)]"
C0012,"[('C0041', 1.0), ('C0122', 1.0), ('C0051', 1.0)]"
C0013,"[('C0155', 1.0), ('C0082', 1.0), ('C0087', 1.0)]"
C0014,"[('C0033', 0.9952), ('C0058', 0.9926), ('C0060', 0.9915)]"
C0015,"[('C0198', 1.0), ('C0095', 0.9999), ('C0063', 0.9999)]"
C0016,"[('C0183', 1.0), ('C0171', 1.0), ('C0106', 1.0)]"
C0017,"[('C0113', 1.0), ('C0145', 1.0), ('C0104', 1.0)]"
C0018,"[('C0055', 1.0), ('C0149', 1.0), ('C0103', 1.0)]"
C0019,"[('C0153', 1.0), ('C0105', 1.0), ('C0179', 1.0)]"
C0020,"[('C0150', 1.0), ('C0130', 0.9999), ('C0110', 0.9999)]"
